uuid,name,permalink,website,description,phone,email,facebook,growth_indicator,founders,categories,locations
9bd428f2-ec7d-45d1-936f-2c2b3bf93c95,Hippocratic AI,hippocratic-ai,https://www.hippocraticai.com,"Hippocratic AI develops safety-focused large language models with a focus on non-diagnostic, patient-facing applications. The majority of language models undergo pre-training using the common crawl of the Internet, which might contain inaccurate and deceptive information. In contrast, Hippocratic AI is significantly prioritizing the acquisition of evidence-based healthcare content through legal means, setting it apart from these language models.",,press@hippocraticAI.com,https://www.facebook.com/hippocraticai,growing,Alex Miller|Debajyoti Datta|Kim Parikh|Meenesh Bhimani|Munjal Shah|Saad Godil|Subhabrata Mukherjee|Vishal Parikh,Artificial Intelligence (AI)|Generative AI|Health Care|Information Technology,Palo Alto|California|United States|North America
e91365c8-d5df-d50f-6af9-e68362093729,StackAdapt,stackadapt,https://www.stackadapt.com,"StackAdapt is a programmatic advertising platform that specializes in multi-channel solutions including native, display, video, connected TV, audio, in-game, and digital out-of-home ads.

StackAdapt's state-of-the-art platform is where some of the most progressive work in machine learning meets cutting-edge user experience. StackAdapt is designed around the three core pillars of programmatic—planning, executing, and analyzing.

StackAdapt is ranked as the number 1 DSP on G2. For six consecutive years, StackAdapt has been recognized as a high performer and the highest-ranking DSP in customer satisfaction by G2, and also placed on the Top 100 Software Products list and the Highest Satisfaction list for 2020 and 2021. StackAdapt has been named one of the 2022 Ad Age Best Places to Work and was ranked top 5 out of thousands of applicants.",1 800-659-2026,,https://www.facebook.com/stackadapt,growing,Ildar Shar|Vitaly Pecherskiy|Yang Han,Ad Retargeting|Ad Targeting|Advertising|Advertising Platforms|Digital Marketing|Machine Learning|Marketing|Mobile Advertising|Video Advertising,Toronto|Ontario|Canada|North America
a51bcde4-4be9-eadf-0f18-af534e13a780,BitGo,bitgo,http://www.bitgo.com,"BitGo is an institutional digital asset financial services company that provides clients with security, custody, and liquidity solutions. BitGo supports over 200 coins and tokens and has over $2 billion in assets in its wallet. The company's customer base includes cryptocurrency exchanges and spans more than 50 countries. In 2018, the company introduced BitGo Custody and launched BitGo Trust Company, a qualified custodian purpose-built for storing digital assets.",+972 1-700-700-354,support@bitgo.com,https://www.facebook.com/bitgoinc,,Ben Davenport|Mike Belshe|Will O'Brien,Bitcoin|Cryptocurrency|Financial Services|FinTech|Virtual Currency,Palo Alto|California|United States|North America
eed93262-0db4-4be7-ae0e-3407d13a7111,Movement Labs,movement-labs-7111,https://movementlabs.xyz/,Movement Labs is a modular framework platform that builds and deploys move-based blockchains and applications in distributed settings. Its platform offers a composable and horizontally scalable network that provides unparalleled smart contract security and asset portability to help users solve the cold start problem with unprecedented interoperability.,,,,,Cooper Scanlon|Rushi Manche,Blockchain|Business Intelligence|Cloud Computing|Network Security,Middletown|Delaware|United States|North America
43ac6c2f-65ec-5b40-89d6-ab9d4c4988ef,Crunchbase,crunchbase,https://www.crunchbase.com,"Crunchbase helps over 80 million investors, analysts, and dealmakers discover and act on the right private market opportunities by analyzing company activity and predicting what matters most. With Crunchbase:
- Discover companies that matter at scale using the homepage, Crunchbase Scout, and search.
- Make impactful decisions with proprietary Predictions and Insights on organization profiles.
- Drive team efficiency, on or off Crunchbase, with exports, team administrative features, integrations, and more.
- Enrich team tools and build products with private company intelligence you can’t get anywhere else.
Built on the data you trust, Crunchbase closes the gap between accessing data and making business decisions with it.",,info@crunchbase.com,https://www.facebook.com/crunchbase,growing,Michael Arrington,Artificial Intelligence (AI)|Big Data|Business Intelligence|Database|Information Services|Lead Generation|Software,San Francisco|California|United States|North America
08ab1923-a787-4612-842f-c01f7fbf7a9e,Serve Robotics,serve-robotics,http://www.serverobotics.com,"Serve Robotics develops self-driving robotic carriers to deliver and serve food. The company's zero-emissions rovers are designed to serve people in public spaces, starting with food delivery. It also partners with platforms and merchants to help local businesses reach more customers.",,info@serverobotics.com,,growing,Ali Kashani|Dmitry Demeshchuk,Food Delivery|Logistics|Robotics,Los Angeles|California|United States|North America
546ef041-e539-46f4-8389-2cd07afe59c9,Sygnum,sygnum,https://www.sygnum.com,"Sygnum is an international digital asset banking organization, rooted in Swiss and Singaporean traditions. The company provides professional and institutional investors, banks, corporations, and DLT foundations with the means to invest in digital assets with utmost confidence. Sygnum's team facilitates this through our top-tier security, personalized expert service, and regulated services in digital asset banking, asset management, tokenization, and B2B offerings.",+41 58-508-2000,info@sygnum.com,https://www.facebook.com/SygnumAG,growing,Gerald Goh|Karen Seah|Luka Muller|Mathias Imbach,Asset Management|Banking|Cryptocurrency|Finance|Financial Services|FinTech,Zürich|Zurich|Switzerland|Europe
2b67d957-4f54-4d8d-8202-2bfa4ba681bd,LemFi,lemonade-finance,https://www.lemfi.com,LemFi provides users with accounts in their country of residence and of origin for personal and business banking needs. The company allows international payments and sending money to 20+ countries.,702-505-4976,support@lemfi.com,https://www.facebook.com/uselemfi,growing,Olalere Ridwan|Rian Cochran,Banking|Financial Services|FinTech,Toronto|Ontario|Canada|North America
1079eddc-76d6-118d-3168-c264b1da043f,Trinity Capital,trinity-capital-investment,https://trinitycap.com,"Trinity Capital is a provider of venture debt and equipment financings to emerging growth-stage companies. They work closely with venture capital firms, tech banks, and their respective portfolio companies to provide insightful and competitive venture debt financing solutions to address their customers’ specific needs. Having funded some of the world’s most innovative start-up companies, they are the partner of choice for venture-backed technology start-ups seeking access to capital while preserving equity.",(480) 247-5099,,,,Steve Brown,Finance|Financial Services|Lending|Venture Capital,Phoenix|Arizona|United States|North America
a8478414-38c1-4084-a2a3-4074f6feae95,K5 Global,k5-global,http://www.k5global.com/,"K5 Global Advisor LLC (“K5”) is a venture capital firm and incubation studio that supports founders across the business lifecycle. The firm was founded in 2018 by Michael Kives and Bryan Baum and has deployed capital of around $1B as of March 31, 2024. K5 invests across multiple stages, from seed through growth stage companies, with a focus on Enterprise SaaS, Vertical SaaS, and FinTech. In 2023, Keenan Rice and Daniel Marcotte, investors from Tokyo Black Capital Advisors, LLC, and both on the founding team of Looker (acquired by Google in 2020 for $2.6B), joined with K5’s early-stage SaaS investing team.

K5 seeks to help innovative companies expand their networks and best position them to achieve growth targets.",,inquiries@k5global.com,,,Bryan Baum|Michael Kives,,San Francisco|California|United States|North America
1a4c9bfc-91d9-4586-bb7d-8d6f2d73b5d4,Quantum Computing,quantum-computing,https://quantumcomputinginc.com,"Quantum Computing is a computer software company that focuses on developing processes to commercialize quantum computing hardware and application services. The company is driven by its mission is to lead the revolution in quantum computing.

Quantum Computing was founded in 2018 and headquartered in Leesburg, Virginia.",703-436-2161,info@quantumcomputinginc.com,,growing,Robert Liscouski,Information Technology|Quantum Computing|Software,Leesburg|Virginia|United States|North America
55d02c5a-f0d6-f70f-1a04-832633cfce2a,AngelList,angellist,https://www.angellist.com,"AngelList is a U.S. website for startups, angel investors, and job-seekers looking to work at startups.

It is the parent company of AngelList Venture, AngelList Talent, and Product Hunt and has more than 20 unicorns in the portfolio. They support millions of job-seekers in their search and helped makers launch over 100,000 products that will define the future of tech.",,Wben34690@gmail.com,https://www.facebook.com/angellist,,Babak Nivi|Naval Ravikant,Angel Investment|Financial Services|Internet,San Francisco|California|United States|North America
d299f4ea-64d3-3967-c359-3187c3a99ba4,Rokt,rokt,https://www.rokt.com,ROKT is a software development company that offers e-commerce technology and software solutions to introduce marketing into e-commerce through the transaction moment in order to revolutionize the consumer purchasing experience. The business links consumers and marketers and integrates native advertisements into e-commerce sites' transactional flows.,+1-646-693-7411,info@rokt.com,https://www.facebook.com/ROKT,,Ben Voltz|Bruce Buchanan|Justin Viles,B2B|Big Data|Data Integration|E-Commerce|Marketing|Marketing Automation,New York|New York|United States|North America
